Employee_ID,Name,Department,Age,Gender,Salary,Join_Date,Performance_Score,Remote_Work,Projects_Completed
EMP-1112,Employee_112,Sales,25,Female,84915.0,2019-07-10,3.0,False,6
EMP-1113,Employee_113,Finance,37,Male,82219.0,2019-07-15,4.0,True,9
EMP-1114,Employee_114,HR,45,Female,125879.0,2019-07-20,4.0,False,1
EMP-1115,Employee_115,Marketing,37,Female,109644.0,2019-07-25,3.0,True,9
EMP-1116,Employee_116,Finance,23,Male,105279.0,2019-07-30,5.0,True,16
EMP-1117,Employee_117,HR,49,Female,98028.0,2019-08-04,5.0,False,13
EMP-1118,Employee_118,Sales,53,Male,45126.0,2019-08-09,3.0,True,9
EMP-1119,Employee_119,Finance,48,Female,97329.0,2019-08-14,3.0,False,21
EMP-1120,Employee_120,Engineering,41,Male,72632.0,2019-08-19,2.0,False,13
EMP-1121,Employee_121,HR,45,Female,110310.0,2019-08-24,3.0,False,9
EMP-1122,Employee_122,Finance,33,Male,100176.0,2019-08-29,1.0,True,11
EMP-1123,Employee_123,Engineering,56,Female,131066.0,2019-09-03,3.0,False,4
EMP-1124,Employee_124,Sales,54,Male,89327.0,2019-09-08,5.0,False,2
EMP-1125,Employee_125,Sales,54,Female,113904.0,2019-09-13,,True,6
EMP-1126,Employee_126,Engineering,58,Male,,2019-09-18,3.0,False,14
EMP-1127,Employee_127,HR,33,Male,92882.0,2019-09-23,3.0,False,4
EMP-1128,Employee_128,Finance,24,Non-Binary,58718.0,2019-09-28,2.0,False,6
EMP-1129,Employee_129,Sales,22,Male,79560.0,2019-10-03,4.0,False,19
EMP-1130,Employee_130,Engineering,54,Female,121589.0,2019-10-08,2.0,False,6
EMP-1131,Employee_131,Engineering,31,Male,67116.0,2019-10-13,2.0,False,2
EMP-1132,Employee_132,Sales,50,Female,81244.0,2019-10-18,3.0,False,18
EMP-1133,Employee_133,Sales,34,Female,46645.0,2019-10-23,4.0,False,13
EMP-1134,Employee_134,Engineering,33,Female,92523.0,2019-10-28,4.0,True,9
EMP-1135,Employee_135,Finance,52,Male,64256.0,2019-11-02,2.0,True,23
EMP-1136,Employee_136,Engineering,23,Male,98173.0,2019-11-07,3.0,False,19
EMP-1137,Employee_137,Engineering,56,Female,82430.0,2019-11-12,3.0,True,13
EMP-1138,Employee_138,Marketing,44,Male,84282.0,2019-11-17,3.0,False,11
EMP-1139,Employee_139,Engineering,38,Female,108374.0,2019-11-22,3.0,True,1
EMP-1140,Employee_140,Finance,47,Female,113244.0,2019-11-27,3.0,True,24
EMP-1141,Employee_141,Finance,29,Female,56694.0,2019-12-02,3.0,False,22
EMP-1142,Employee_142,Engineering,50,Female,101264.0,2019-12-07,3.0,False,7
EMP-1143,Employee_143,Engineering,47,Male,120060.0,2019-12-12,4.0,True,21
EMP-1144,Employee_144,Engineering,31,Male,102545.0,2019-12-17,3.0,False,15
EMP-1145,Employee_145,Engineering,47,Male,84224.0,2019-12-22,3.0,False,1
EMP-1146,Employee_146,Sales,55,Female,58224.0,2019-12-27,3.0,True,12
EMP-1147,Employee_147,Marketing,28,Female,85738.0,2020-01-01,3.0,False,7
EMP-1148,Employee_148,Engineering,25,Female,70150.0,2020-01-06,4.0,True,15
EMP-1149,Employee_149,Sales,32,Male,108731.0,2020-01-11,3.0,True,21
EMP-1150,Employee_150,Engineering,50,Female,94688.0,2020-01-16,3.0,False,19
EMP-1151,Employee_151,Finance,57,Male,,2020-01-21,4.0,True,1
EMP-1152,Employee_152,Sales,46,Non-Binary,53577.0,2020-01-26,3.0,False,17
EMP-1153,Employee_153,Sales,42,Male,53070.0,2020-01-31,3.0,False,17
EMP-1154,Employee_154,Engineering,57,Male,53666.0,2020-02-05,4.0,True,3
EMP-1155,Employee_155,Finance,31,Female,102761.0,2020-02-10,3.0,False,12
EMP-1156,Employee_156,Sales,58,Male,81368.0,2020-02-15,3.0,False,6
EMP-1157,Employee_157,Marketing,30,Male,,2020-02-20,5.0,True,11
EMP-1158,Employee_158,HR,45,Male,86914.0,2020-02-25,1.0,False,3
EMP-1159,Employee_159,Sales,56,Female,115507.0,2020-03-01,2.0,False,8
EMP-1160,Employee_160,Marketing,56,Female,124026.0,2020-03-06,3.0,False,14
EMP-1161,Employee_161,Engineering,57,Female,112526.0,2020-03-11,5.0,False,14
EMP-1162,Employee_162,Marketing,39,Male,115835.0,2020-03-16,2.0,True,10
EMP-1163,Employee_163,Marketing,53,Male,90765.0,2020-03-21,1.0,False,2
EMP-1164,Employee_164,Engineering,45,Male,64956.0,2020-03-26,2.0,False,14
EMP-1165,Employee_165,Sales,44,Female,132895.0,2020-03-31,2.0,False,9
EMP-1166,Employee_166,HR,53,Male,91240.0,2020-04-05,1.0,False,3
EMP-1167,Employee_167,Engineering,58,Female,82148.0,2020-04-10,3.0,False,21
EMP-1168,Employee_168,Sales,33,Female,139270.0,2020-04-15,3.0,False,8
EMP-1169,Employee_169,Sales,34,Female,49757.0,2020-04-20,3.0,False,16
EMP-1170,Employee_170,Engineering,44,Male,64097.0,2020-04-25,3.0,False,2
EMP-1171,Employee_171,Marketing,46,Female,55395.0,2020-04-30,,False,6
EMP-1172,Employee_172,Sales,56,Male,61241.0,2020-05-05,3.0,False,21
EMP-1173,Employee_173,Engineering,51,Male,72696.0,2020-05-10,3.0,False,12
EMP-1174,Employee_174,Sales,38,Female,115480.0,2020-05-15,4.0,True,5
EMP-1175,Employee_175,Marketing,41,Male,91163.0,2020-05-20,1.0,True,2
EMP-1176,Employee_176,Sales,46,Female,64816.0,2020-05-25,3.0,False,16
EMP-1177,Employee_177,Marketing,43,Female,94840.0,2020-05-30,3.0,False,5
EMP-1178,Employee_178,Engineering,34,Female,97853.0,2020-06-04,4.0,False,15
EMP-1179,Employee_179,Finance,40,Female,69917.0,2020-06-09,4.0,False,12
EMP-1180,Employee_180,Sales,57,Male,66566.0,2020-06-14,3.0,False,4
EMP-1181,Employee_181,Engineering,33,Female,120452.0,2020-06-19,3.0,False,15
EMP-1182,Employee_182,Sales,40,Male,107823.0,2020-06-24,,True,11
EMP-1183,Employee_183,Finance,33,Male,65806.0,2020-06-29,1.0,False,16
EMP-1184,Employee_184,Finance,30,Male,120520.0,2020-07-04,2.0,False,23
EMP-1185,Employee_185,Engineering,28,Male,46759.0,2020-07-09,3.0,False,6
EMP-1186,Employee_186,Marketing,49,Male,86949.0,2020-07-14,2.0,False,14
EMP-1187,Employee_187,HR,35,Female,137374.0,2020-07-19,5.0,True,18
EMP-1188,Employee_188,Engineering,52,Female,47482.0,2020-07-24,4.0,True,12
EMP-1189,Employee_189,Engineering,40,Male,69442.0,2020-07-29,3.0,True,11
EMP-1190,Employee_190,Sales,37,Male,78719.0,2020-08-03,3.0,False,13
EMP-1191,Employee_191,Sales,26,Female,103066.0,2020-08-08,5.0,True,21
EMP-1192,Employee_192,Finance,56,Male,138501.0,2020-08-13,,False,23
EMP-1193,Employee_193,Finance,33,Female,47079.0,2020-08-18,,False,11
EMP-1194,Employee_194,Marketing,46,Male,47717.0,2020-08-23,5.0,True,23
EMP-1195,Employee_195,Engineering,42,Female,104676.0,2020-08-28,5.0,False,16
EMP-1196,Employee_196,Engineering,57,Female,72952.0,2020-09-02,4.0,True,15
EMP-1197,Employee_197,Marketing,44,Female,131444.0,2020-09-07,2.0,False,21
EMP-1198,Employee_198,Finance,37,Male,87460.0,2020-09-12,3.0,True,15
EMP-1199,Employee_199,Finance,35,Male,135397.0,2020-09-17,4.0,False,4
EMP-1200,Employee_200,HR,52,Female,117847.0,2020-09-22,3.0,True,11
EMP-1201,Employee_201,Marketing,26,Male,138607.0,2020-09-27,4.0,False,19
EMP-1202,Employee_202,Sales,56,Female,134106.0,2020-10-02,2.0,False,15
EMP-1203,Employee_203,Sales,44,Male,63449.0,2020-10-07,1.0,False,4
EMP-1204,Employee_204,Finance,50,Female,78536.0,2020-10-12,3.0,False,21
EMP-1205,Employee_205,Marketing,32,Female,109077.0,2020-10-17,1.0,False,13
EMP-1206,Employee_206,Sales,39,Male,83258.0,2020-10-22,5.0,False,22
EMP-1207,Employee_207,Sales,33,Non-Binary,93302.0,2020-10-27,4.0,False,19
EMP-1208,Employee_208,Marketing,30,Male,73865.0,2020-11-01,4.0,False,2
EMP-1209,Employee_209,Sales,31,Male,51645.0,2020-11-06,3.0,False,14
EMP-1210,Employee_210,Sales,38,Male,83000.0,2020-11-11,3.0,False,4
EMP-1211,Employee_211,Engineering,59,Female,71737.0,2020-11-16,3.0,True,16
EMP-1212,Employee_212,Marketing,28,Non-Binary,56485.0,2020-11-21,3.0,True,21
EMP-1213,Employee_213,Marketing,34,Male,,2020-11-26,3.0,False,20
EMP-1214,Employee_214,Sales,30,Male,70522.0,2020-12-01,3.0,False,14
EMP-1215,Employee_215,Marketing,48,Male,110155.0,2020-12-06,3.0,False,15
EMP-1216,Employee_216,Sales,23,Male,100168.0,2020-12-11,3.0,False,3
EMP-1217,Employee_217,Engineering,26,Male,97487.0,2020-12-16,5.0,False,8
EMP-1218,Employee_218,Marketing,50,Female,57342.0,2020-12-21,4.0,True,16
EMP-1219,Employee_219,Marketing,58,Male,85806.0,2020-12-26,3.0,True,10
EMP-1220,Employee_220,HR,59,Female,93770.0,2020-12-31,3.0,True,4
EMP-1221,Employee_221,Marketing,40,Non-Binary,123623.0,2021-01-05,4.0,False,18
EMP-1222,Employee_222,Engineering,29,Male,120629.0,2021-01-10,1.0,False,2
EMP-1223,Employee_223,Sales,22,Female,97603.0,2021-01-15,,True,17
EMP-1224,Employee_224,Engineering,43,Male,126974.0,2021-01-20,4.0,False,13
EMP-1225,Employee_225,Engineering,38,Male,71399.0,2021-01-25,3.0,False,4
EMP-1226,Employee_226,Sales,28,Male,130382.0,2021-01-30,3.0,False,11
EMP-1227,Employee_227,Finance,46,Male,126244.0,2021-02-04,3.0,False,7
EMP-1228,Employee_228,Engineering,25,Female,121534.0,2021-02-09,3.0,True,12
EMP-1229,Employee_229,Finance,57,Male,100106.0,2021-02-14,,False,10
EMP-1230,Employee_230,Marketing,27,Male,75678.0,2021-02-19,4.0,False,7
EMP-1231,Employee_231,HR,52,Female,121218.0,2021-02-24,1.0,True,13
EMP-1232,Employee_232,Engineering,40,Male,108230.0,2021-03-01,3.0,False,7
EMP-1233,Employee_233,Engineering,48,Female,119055.0,2021-03-06,5.0,True,24
EMP-1234,Employee_234,Engineering,31,Female,101373.0,2021-03-11,4.0,False,17
EMP-1235,Employee_235,Sales,47,Male,76480.0,2021-03-16,3.0,False,10
EMP-1236,Employee_236,Marketing,40,Male,130230.0,2021-03-21,3.0,False,10
EMP-1237,Employee_237,Engineering,24,Female,113836.0,2021-03-26,1.0,False,24
EMP-1238,Employee_238,Sales,34,Male,117258.0,2021-03-31,3.0,True,4
EMP-1239,Employee_239,Marketing,49,Female,84986.0,2021-04-05,1.0,False,20
EMP-1240,Employee_240,Sales,41,Female,69160.0,2021-04-10,3.0,True,4
EMP-1241,Employee_241,Finance,49,Female,130595.0,2021-04-15,5.0,True,22
EMP-1242,Employee_242,Finance,29,Female,124111.0,2021-04-20,2.0,False,7
EMP-1243,Employee_243,Finance,22,Female,109929.0,2021-04-25,4.0,True,22
EMP-1244,Employee_244,Engineering,24,Male,118506.0,2021-04-30,5.0,False,1
EMP-1245,Employee_245,Sales,34,Male,79911.0,2021-05-05,2.0,False,12
EMP-1246,Employee_246,Finance,49,Female,132127.0,2021-05-10,4.0,True,24
EMP-1247,Employee_247,Engineering,46,Male,76821.0,2021-05-15,3.0,True,13
EMP-1248,Employee_248,Finance,54,Male,120039.0,2021-05-20,5.0,True,10
EMP-1249,Employee_249,Finance,59,Female,105535.0,2021-05-25,3.0,False,15
EMP-1250,Employee_250,Finance,27,Male,129458.0,2021-05-30,3.0,False,13
